plot_id,date,visit_year,species,dung1m,dung2m
shelby a1,2018-08-11,2018,deer,19,1
shelby a1,2018-08-11,2018,NA,0,0
shelby a2,2018-08-12,2018,deer,13,4
shelby b1,2017-09-23,2017,cottontail,2,0
shelby b1,2017-09-23,2017,other,1,0
shelby b1,2017-09-23,2017,NA,0,0
shelby b2,2017-09-24,2017,NA,0,0
shelby b2,2018-08-15,2018,deer,1,0
shelby b2,2018-08-15,2018,NA,0,0
shelby b3,2017-09-24,2017,NA,0,0
shelby b3,2018-08-15,2018,NA,0,0
shelby c1,2018-08-11,2018,deer,6,1
shelby c1,2018-08-11,2018,NA,0,0
shelby d1,2017-09-23,2017,NA,0,0
shelby e1,2018-08-12,2018,cottontail,7,8
shelby e1,2018-08-12,2018,deer,20,3
shelby e1,2018-08-12,2018,NA,0,0
shelby f1,2017-09-23,2017,cottontail,12,0
shelby f1,2017-09-23,2017,deer,1,0
shelby g1,2017-09-26,2017,cottontail,4,0
shelby g1,2017-09-26,2017,deer,1,0
shelby g1,2017-09-26,2017,NA,0,0
shelby h1,2018-08-13,2018,deer,2,0
shelby h1,2018-08-13,2018,NA,0,0
shelby i1,2018-08-13,2018,deer,0,1
shelby i1,2018-08-13,2018,NA,0,0
shelby j1,2018-08-14,2018,deer,2,0
shelby j1,2018-08-14,2018,NA,0,0
shelby k1,2018-08-14,2018,deer,7,0
shelby k1,2018-08-14,2018,NA,0,0
