installation,plot_id,date,location,species,dung1m,dung2m,notes,visit_year
avonpark,avonpark a1,2017-06-27,north,cottontail,5,0,NA,2017
avonpark,avonpark a1,2017-06-27,north,cow,5,1,NA,2017
avonpark,avonpark a1,2017-06-27,east,cottontail,30,4,NA,2017
avonpark,avonpark a1,2017-06-27,east,cow,1,0,NA,2017
avonpark,avonpark a1,2017-06-27,south,cottontail,17,5,NA,2017
avonpark,avonpark a1,2017-06-27,south,cow,7,3,NA,2017
avonpark,avonpark a1,2017-06-27,west,cottontail,13,3,NA,2017
avonpark,avonpark a1,2017-06-27,west,cow,2,0,NA,2017
avonpark,avonpark b1,2017-06-29,north,NA,0,0,NA,2017
avonpark,avonpark b1,2017-06-29,east,NA,0,0,NA,2017
avonpark,avonpark b1,2017-06-29,south,NA,0,0,NA,2017
avonpark,avonpark b1,2017-06-29,west,NA,0,0,NA,2017
avonpark,avonpark c1,2017-06-28,north,cow,3,0,NA,2017
avonpark,avonpark c1,2017-06-28,north,hog,1,0,NA,2017
avonpark,avonpark c1,2017-06-28,east,cow,4,1,NA,2017
avonpark,avonpark c1,2017-06-28,south,cow,1,1,NA,2017
avonpark,avonpark c1,2017-06-28,west,cow,2,1,NA,2017
avonpark,avonpark c1,2017-06-28,west,hog,1,1,NA,2017
avonpark,avonpark c1,2017-06-28,west,racoon,1,0,NA,2017
avonpark,avonpark d1,2017-06-30,north,cottontail,1,0,Deer tracks nearby,2017
avonpark,avonpark d1,2017-06-30,east,NA,0,0,NA,2017
avonpark,avonpark d1,2017-06-20,south,cottontail,1,1,NA,2017
avonpark,avonpark d1,2017-06-20,west,NA,0,0,NA,2017
blanding,blanding a1,2017-06-10,north,cottontail,2,3,NA,2017
blanding,blanding a1,2017-06-10,north,deer,1,0,NA,2017
blanding,blanding a1,2017-06-10,east,cottontail,11,7,NA,2017
blanding,blanding a1,2017-06-10,south,cottontail,27,6,NA,2017
blanding,blanding a1,2017-06-10,west,cottontail,3,0,NA,2017
blanding,blanding d1,2017-06-10,north,cottontail,1,0,Deer tracks nearby,2017
blanding,blanding d1,2017-06-10,east,cottontail,1,2,NA,2017
blanding,blanding d1,2017-06-10,south,NA,0,0,NA,2017
blanding,blanding d1,2017-06-10,west,cottontail,1,1,NA,2017
blanding,blanding c1,2017-06-08,north,NA,0,0,NA,2017
blanding,blanding c1,2017-06-08,east,NA,0,0,NA,2017
blanding,blanding c1,2017-06-08,south,cottontail,7,1,NA,2017
blanding,blanding c1,2017-06-08,west,NA,0,0,NA,2017
blanding,blanding b1,2017-06-08,north,cottontail,29,27,NA,2017
blanding,blanding b1,2017-06-08,east,armadillo,1,0,NA,2017
blanding,blanding b1,2017-06-08,east,cottontail,20,4,NA,2017
blanding,blanding b1,2017-06-08,south,cottontail,28,9,NA,2017
blanding,blanding b1,2017-06-08,west,cottontail,25,25,NA,2017
blanding,blanding e1,2017-06-15,north,NA,0,0,Deer tracks nearby,2017
blanding,blanding e1,2017-06-15,east,cottontail,1,0,NA,2017
blanding,blanding e1,2017-06-15,south,deer,2,0,NA,2017
blanding,blanding e1,2017-06-15,west,NA,0,0,NA,2017
blanding,blanding g1,2017-06-15,north,NA,0,0,NA,2017
blanding,blanding g1,2017-06-15,east,deer,1,0,NA,2017
blanding,blanding g1,2017-06-15,south,armadillo,1,0,NA,2017
blanding,blanding g1,2017-06-15,south,other,0,1,NA,2017
blanding,blanding g1,2017-06-15,west,NA,0,0,NA,2017
blanding,blanding h1,2017-06-16,north,NA,0,0,Deer scat nearby,2017
blanding,blanding h1,2017-06-16,east,cottontail,3,0,NA,2017
blanding,blanding h1,2017-06-16,south,cottontail,1,0,NA,2017
blanding,blanding h1,2017-06-16,west,NA,0,0,NA,2017
blanding,blanding f1,2017-06-21,north,armadillo,0,1,NA,2017
blanding,blanding f1,2017-06-21,north,cottontail,47,21,NA,2017
blanding,blanding f1,2017-06-21,east,cottontail,1,1,NA,2017
blanding,blanding f1,2017-06-21,south,cottontail,19,7,NA,2017
blanding,blanding f1,2017-06-21,west,cottontail,57,5,NA,2017
tyndall,tyndall b1,2017-07-18,north,NA,0,0,NA,2017
tyndall,tyndall b1,2017-07-18,east,NA,0,0,NA,2017
tyndall,tyndall b1,2017-07-17,south,NA,0,0,NA,2017
tyndall,tyndall b1,2017-07-17,west,deer,3,0,NA,2017
tyndall,tyndall b2,2017-07-19,north,NA,0,0,NA,2017
tyndall,tyndall b2,2017-07-19,east,deer,3,0,NA,2017
tyndall,tyndall b2,2017-07-19,south,NA,0,0,NA,2017
tyndall,tyndall b2,2017-07-19,west,NA,0,0,NA,2017
tyndall,tyndall d1,2017-07-20,north,NA,0,0,NA,2017
tyndall,tyndall d1,2017-07-20,east,NA,0,0,NA,2017
tyndall,tyndall d1,2017-07-20,south,NA,0,0,NA,2017
tyndall,tyndall d1,2017-07-20,west,NA,0,0,NA,2017
tyndall,tyndall h1,2017-07-20,north,NA,0,0,NA,2017
tyndall,tyndall h1,2017-07-20,east,NA,0,0,NA,2017
tyndall,tyndall h1,2017-07-20,south,NA,0,0,NA,2017
tyndall,tyndall h1,2017-07-20,west,NA,0,0,NA,2017
moody,moody a1,2017-08-30,north,deer,1,0,NA,2017
moody,moody a1,2017-08-30,east,NA,0,0,NA,2017
moody,moody a1,2017-08-30,south,deer,1,0,NA,2017
moody,moody a1,2017-08-30,west,deer,1,0,NA,2017
moody,moody b1,2017-08-29,north,NA,0,0,NA,2017
moody,moody b1,2017-08-29,east,deer,1,0,NA,2017
moody,moody b1,2017-08-29,south,NA,0,0,NA,2017
moody,moody b1,2017-08-29,west,NA,0,0,NA,2017
moody,moody k1,2017-08-30,north,NA,0,0,NA,2017
moody,moody k1,2017-08-30,east,NA,0,0,NA,2017
moody,moody k1,2017-08-30,south,NA,0,0,NA,2017
moody,moody k1,2017-08-30,west,NA,0,0,NA,2017
shelby,shelby d1,2017-09-23,north,NA,0,0,NA,2017
shelby,shelby d1,2017-09-23,east,NA,0,0,NA,2017
shelby,shelby d1,2017-09-23,south,NA,0,0,NA,2017
shelby,shelby d1,2017-09-23,west,NA,0,0,NA,2017
shelby,shelby b2,2017-09-24,north,NA,0,0,NA,2017
shelby,shelby b2,2017-09-24,east,NA,0,0,NA,2017
shelby,shelby b2,2017-09-24,south,NA,0,0,NA,2017
shelby,shelby b2,2017-09-24,west,NA,0,0,NA,2017
shelby,shelby b1,2017-09-23,north,other,1,0,NA,2017
shelby,shelby b1,2017-09-23,east,NA,0,0,NA,2017
shelby,shelby b1,2017-09-23,south,cottontail,1,0,NA,2017
shelby,shelby b1,2017-09-23,west,cottontail,1,0,NA,2017
shelby,shelby f1,2017-09-23,north,cottontail,2,0,NA,2017
shelby,shelby f1,2017-09-23,north,deer,1,0,NA,2017
shelby,shelby f1,2017-09-23,east,cottontail,4,0,NA,2017
shelby,shelby f1,2017-09-23,south,cottontail,4,0,NA,2017
shelby,shelby f1,2017-09-23,west,cottontail,2,0,NA,2017
shelby,shelby b3,2017-09-24,north,NA,0,0,NA,2017
shelby,shelby b3,2017-09-24,east,NA,0,0,NA,2017
shelby,shelby b3,2017-09-24,south,NA,0,0,NA,2017
shelby,shelby b3,2017-09-24,west,NA,0,0,NA,2017
shelby,shelby g1,2017-09-26,north,cottontail,2,0,NA,2017
shelby,shelby g1,2017-09-26,east,deer,1,0,NA,2017
shelby,shelby g1,2017-09-26,east,cottontail,1,0,NA,2017
shelby,shelby g1,2017-09-26,south,NA,0,0,NA,2017
shelby,shelby g1,2017-09-26,west,cottontail,1,0,NA,2017
eglin,eglin b1,2017-08-19,north,deer,0,1,NA,2017
eglin,eglin b1,2017-08-19,east,deer,4,0,NA,2017
eglin,eglin b1,2017-08-19,south,deer,2,0,NA,2017
eglin,eglin b1,2017-08-19,south,cottontail,1,0,NA,2017
eglin,eglin b1,2017-08-19,west,other,1,0,NA,2017
eglin,eglin p1,2017-08-19,north,cottontail,1,0,NA,2017
eglin,eglin p1,2017-08-19,east,NA,0,0,NA,2017
eglin,eglin p1,2017-08-19,south,deer,1,0,NA,2017
eglin,eglin p1,2017-08-19,west,NA,0,0,NA,2017
eglin,eglin h1,2017-08-17,north,NA,0,0,NA,2017
eglin,eglin h1,2017-08-17,east,NA,0,0,NA,2017
eglin,eglin h1,2017-08-17,south,NA,0,0,NA,2017
eglin,eglin h1,2017-08-17,west,NA,0,0,NA,2017
eglin,eglin d1,2017-08-17,north,deer,4,0,NA,2017
eglin,eglin d1,2017-08-17,east,deer,1,0,NA,2017
eglin,eglin d1,2017-08-17,south,NA,0,0,NA,2017
eglin,eglin d1,2017-08-17,west,deer,1,0,NA,2017
blanding,blanding k1,2018-05-22,north,deer,4,0,NA,2018
blanding,blanding k1,2018-05-22,east,deer,0,1,NA,2018
blanding,blanding k1,2018-05-22,south,deer,4,5,NA,2018
blanding,blanding k1,2018-05-22,west,deer,2,1,NA,2018
blanding,blanding g1,2018-05-18,north,deer,33,16,NA,2018
blanding,blanding g1,2018-05-18,north,cottontail,71,122,NA,2018
blanding,blanding g1,2018-05-18,east,deer,4,0,NA,2018
blanding,blanding g1,2018-05-18,east,cottontail,6,6,NA,2018
blanding,blanding g1,2018-05-18,east,other,2,2,NA,2018
blanding,blanding g1,2018-05-18,south,deer,3,3,NA,2018
blanding,blanding g1,2018-05-18,south,cottontail,19,0,NA,2018
blanding,blanding g1,2018-05-18,south,other,1,0,NA,2018
blanding,blanding g1,2018-05-18,west,deer,18,7,NA,2018
blanding,blanding i1,2018-05-25,north,deer,10,3,NA,2018
blanding,blanding i1,2018-05-25,east,deer,1,0,NA,2018
blanding,blanding i1,2018-05-25,south,deer,4,0,NA,2018
blanding,blanding i1,2018-05-25,west,deer,5,2,NA,2018
blanding,blanding i1,2018-05-25,west,cottontail,2,0,NA,2018
blanding,blanding m1,2018-05-18,north,deer,7,2,NA,2018
blanding,blanding m1,2018-05-18,north,cottontail,7,14,NA,2018
blanding,blanding m1,2018-05-18,north,turkey,1,0,NA,2018
blanding,blanding m1,2018-05-18,east,NA,0,0,NA,2018
blanding,blanding m1,2018-05-18,south,deer,9,1,NA,2018
blanding,blanding m1,2018-05-18,south,cottontail,7,1,NA,2018
blanding,blanding m1,2018-05-18,south,turkey,2,0,NA,2018
blanding,blanding m1,2018-05-18,west,deer,5,1,NA,2018
blanding,blanding m1,2018-05-18,west,cottontail,1,1,NA,2018
blanding,blanding m1,2018-05-18,west,turkey,2,1,NA,2018
blanding,blanding c1,2018-05-16,north,deer,4,1,NA,2018
blanding,blanding c1,2018-05-16,north,cottontail,17,2,NA,2018
blanding,blanding c1,2018-05-16,north,turkey,3,0,NA,2018
blanding,blanding c1,2018-05-16,east,deer,0,2,NA,2018
blanding,blanding c1,2018-05-16,east,cottontail,4,2,NA,2018
blanding,blanding c1,2018-05-16,east,turkey,6,0,NA,2018
blanding,blanding c1,2018-05-16,south,deer,4,0,NA,2018
blanding,blanding c1,2018-05-16,south,cottontail,8,1,NA,2018
blanding,blanding c1,2018-05-16,west,deer,1,2,NA,2018
blanding,blanding c1,2018-05-16,west,cottontail,1,5,NA,2018
blanding,blanding c1,2018-05-16,west,other,1,0,NA,2018
blanding,blanding c1,2018-05-16,west,turkey,0,1,NA,2018
blanding,blanding h1,2018-05-17,north,NA,0,0,NA,2018
blanding,blanding h1,2018-05-17,east,deer,25,14,NA,2018
blanding,blanding h1,2018-05-17,east,cottontail,16,4,NA,2018
blanding,blanding h1,2018-05-17,east,other,1,0,NA,2018
blanding,blanding h1,2018-05-17,south,deer,5,6,NA,2018
blanding,blanding h1,2018-05-17,south,cottontail,1,0,NA,2018
blanding,blanding h1,2018-05-17,west,deer,5,6,NA,2018
blanding,blanding h1,2018-05-17,west,cottontail,0,2,NA,2018
blanding,blanding h1,2018-05-17,west,other,1,0,NA,2018
blanding,blanding n1,2018-05-24,north,deer,4,0,NA,2018
blanding,blanding n1,2018-05-24,north,cottontail,240,125,NA,2018
blanding,blanding n1,2018-05-24,east,cottontail,90,60,NA,2018
blanding,blanding n1,2018-05-24,south,cottontail,88,82,NA,2018
blanding,blanding n1,2018-05-24,west,deer,1,0,NA,2018
blanding,blanding n1,2018-05-24,west,cottontail,74,4,NA,2018
blanding,blanding j1,2018-05-25,north,deer,2,0,NA,2018
blanding,blanding j1,2018-05-25,east,deer,2,0,NA,2018
blanding,blanding j1,2018-05-25,south,cottontail,3,0,NA,2018
blanding,blanding j1,2018-05-25,west,cottontail,37,0,NA,2018
avonpark,avonpark c1,2018-05-31,north,cow,5,2,NA,2018
avonpark,avonpark c1,2018-05-31,north,other,1,0,NA,2018
avonpark,avonpark c1,2018-05-31,east,cow,2,1,NA,2018
avonpark,avonpark c1,2018-05-31,south,cow,3,0,NA,2018
avonpark,avonpark c1,2018-05-31,south,cottontail,8,0,NA,2018
avonpark,avonpark c1,2018-05-31,west,cow,2,0,NA,2018
avonpark,avonpark c1,2018-05-31,west,cottontail,39,0,NA,2018
avonpark,avonpark c2,2018-05-31,north,cow,1,0,NA,2018
avonpark,avonpark c2,2018-05-31,north,cottontail,18,0,NA,2018
avonpark,avonpark c2,2018-05-31,east,cottontail,9,0,NA,2018
avonpark,avonpark c2,2018-05-31,south,cow,1,1,NA,2018
avonpark,avonpark c2,2018-05-31,south,deer,1,0,NA,2018
avonpark,avonpark c2,2018-05-31,west,cow,3,0,NA,2018
avonpark,avonpark c2,2018-05-31,west,deer,1,1,NA,2018
avonpark,avonpark c2,2018-05-31,west,cottontail,4,0,NA,2018
avonpark,avonpark f1,2018-05-31,north,deer,2,3,NA,2018
avonpark,avonpark f1,2018-05-31,east,deer,1,0,NA,2018
avonpark,avonpark f1,2018-05-31,south,deer,4,2,NA,2018
avonpark,avonpark f1,2018-05-31,west,other,0,1,NA,2018
avonpark,avonpark g1,2018-05-31,north,cottontail,2,0,NA,2018
avonpark,avonpark g1,2018-05-31,east,NA,0,0,NA,2018
avonpark,avonpark g1,2018-05-31,south,NA,0,0,NA,2018
avonpark,avonpark g1,2018-05-31,west,NA,0,0,NA,2018
avonpark,avonpark h1,2018-06-01,north,deer,1,1,NA,2018
avonpark,avonpark h1,2018-06-01,north,cottontail,1,0,NA,2018
avonpark,avonpark h1,2018-06-01,east,deer,0,1,NA,2018
avonpark,avonpark h1,2018-06-01,south,NA,0,0,NA,2018
avonpark,avonpark h1,2018-06-01,west,deer,1,0,NA,2018
avonpark,avonpark i1,2018-06-01,north,NA,0,0,NA,2018
avonpark,avonpark i1,2018-06-01,east,NA,0,0,NA,2018
avonpark,avonpark i1,2018-06-01,south,NA,0,0,NA,2018
avonpark,avonpark i1,2018-06-01,west,NA,0,0,NA,2018
avonpark,avonpark e1,2018-05-29,north,NA,0,0,NA,2018
avonpark,avonpark e1,2018-05-29,east,NA,0,0,NA,2018
avonpark,avonpark e1,2018-05-29,south,NA,0,0,NA,2018
avonpark,avonpark e1,2018-05-29,west,NA,0,0,NA,2018
avonpark,avonpark e2,2018-05-29,north,NA,0,0,NA,2018
avonpark,avonpark e2,2018-05-29,east,NA,0,0,NA,2018
avonpark,avonpark e2,2018-05-29,south,NA,0,0,NA,2018
